cod_prop,ut,area_amostrada_ha,metodo_calculo
D043,UT09,0.0474511018153,"BD_Inventário (1 UTs, 73 indivíduos total)"
D045,UT01,0.0116024704413,"BD_Inventário (1 UTs, 23 indivíduos total)"
D046,UT01,0.0134985790243,"BD_Inventário (1 UTs, 72 indivíduos total)"
D046,UT02,0.0114147839489,"BD_Inventário (1 UTs, 32 indivíduos total)"
D046,UT03,0.0189045623321,"BD_Inventário (1 UTs, 93 indivíduos total)"
D046,UT04,0.0120269939963,"BD_Inventário (1 UTs, 38 indivíduos total)"
D048,UT01,0.043180308502024,"BD_Inventário (1 UTs, 159 indivíduos total)"
D049,UT01,0.06431414543210001,"BD_Inventário (1 UTs, 230 indivíduos total)"
D051,UT01,0.01146044467257,"BD_Inventário (1 UTs, 95 indivíduos total)"
D053,UT01,0.031622443821247,"BD_Inventário (1 UTs, 106 indivíduos total)"
D055,UT01,0.00627479080819,"BD_Inventário (1 UTs, 16 indivíduos total)"
D057,UT01,0.0161166169523,"BD_Inventário (1 UTs, 95 indivíduos total)"
D058,UT01,0.00691054972205,"BD_Inventário (1 UTs, 36 indivíduos total)"
D059,UT01,0.0269620909548,"BD_Inventário (1 UTs, 145 indivíduos total)"
D060,UT01,0.00987354938208,"BD_Inventário (1 UTs, 46 indivíduos total)"
D060,UT02,0.0264412577566,"BD_Inventário (1 UTs, 147 indivíduos total)"
D061,UT01,0.02709750074411,"BD_Inventário (1 UTs, 106 indivíduos total)"
D061,UT02,0.054462034093879994,"BD_Inventário (1 UTs, 166 indivíduos total)"
D061,UT03,0.01323835290761,"BD_Inventário (1 UTs, 68 indivíduos total)"
D063,UT01,0.01469437649583,"BD_Inventário (1 UTs, 147 indivíduos total)"
D064,UT01,0.0255795866402,"BD_Inventário (1 UTs, 84 indivíduos total)"
D065,UT01,0.0205712332429,"BD_Inventário (1 UTs, 81 indivíduos total)"
D065,UT02,0.0037315661522,"BD_Inventário (1 UTs, 21 indivíduos total)"
D065,UT03,0.00562707405361,"BD_Inventário (1 UTs, 33 indivíduos total)"
D070,UT04,0.0609682838945,"BD_Inventário (1 UTs, 29 indivíduos total)"
D070,UT07,0.0449353297829,"BD_Inventário (1 UTs, 25 indivíduos total)"
D070,UT08,0.06422243975655,"BD_Inventário (1 UTs, 34 indivíduos total)"
D071,UT01,0.0442372762406,"BD_Inventário (1 UTs, 72 indivíduos total)"
D071,UT02,0.0161484621073,"BD_Inventário (1 UTs, 17 indivíduos total)"
D071,UT03,0.0179426627896,"BD_Inventário (1 UTs, 25 indivíduos total)"
D071,UT04,0.0315825459324,"BD_Inventário (1 UTs, 39 indivíduos total)"
D071,UT05,0.012256441375080002,"BD_Inventário (1 UTs, 8 indivíduos total)"
D071,UT06,0.0296437765528,"BD_Inventário (1 UTs, 6 indivíduos total)"
D072,UT01,0.2811510364181,"BD_Inventário (1 UTs, 16 indivíduos total)"
D072,UT03,0.5058620483915099,"BD_Inventário (1 UTs, 54 indivíduos total)"
D072,UT04,0.180967269384,"BD_Inventário (1 UTs, 13 indivíduos total)"
D074,UT01,0.0103159098998,"BD_Inventário (1 UTs, 73 indivíduos total)"
D077,UT01,0.129455690428,"BD_Inventário (1 UTs, 100 indivíduos total)"
D078,UT01,0.166343843481,"BD_Inventário (1 UTs, 227 indivíduos total)"
D079,UT02,0.239942382532,"BD_Inventário (1 UTs, 86 indivíduos total)"
D079,UT03,0.11980099636445,"BD_Inventário (1 UTs, 119 indivíduos total)"
D080,UT01,0.977789776844,"BD_Inventário (1 UTs, 91 indivíduos total)"
D080,UT02,1.03445310599,"BD_Inventário (1 UTs, 51 indivíduos total)"
D082,UT01,0.06922983363881541,"BD_Inventário (1 UTs, 140 indivíduos total)"
D084,UT01,0.026965179041550002,"BD_Inventário (1 UTs, 106 indivíduos total)"
D084,UT02,0.01542298885787,"BD_Inventário (1 UTs, 66 indivíduos total)"
D084,UT03,0.027960369470650004,"BD_Inventário (1 UTs, 28 indivíduos total)"
D084,UT05,0.0185431496322,"BD_Inventário (1 UTs, 2 indivíduos total)"
D084,UT07,0.011907058830909999,"BD_Inventário (1 UTs, 1 indivíduos total)"
D085,UT01,0.08980357811154,"BD_Inventário (1 UTs, 205 indivíduos total)"
D086,UT01,0.08022780780441,"BD_Inventário (1 UTs, 39 indivíduos total)"
D087,UT01,0.01480210835374,"BD_Inventário (1 UTs, 46 indivíduos total)"
D088,UT01,0.01920051800119,"BD_Inventário (1 UTs, 40 indivíduos total)"
D089,UT01,0.0733675417911,"BD_Inventário (1 UTs, 87 indivíduos total)"
D091,UT01,0.0279707085568,"BD_Inventário (1 UTs, 113 indivíduos total)"
D091_1,UT02,0.12473636018930001,"BD_Inventário (1 UTs, 174 indivíduos total)"
D101,UT01,0.06704547734829,"BD_Inventário (1 UTs, 43 indivíduos total)"
D103,UT01,0.0713120595667,"BD_Inventário (1 UTs, 45 indivíduos total)"
D108,UT01,0.11092728069659,"BD_Inventário (1 UTs, 98 indivíduos total)"
D108,UT02,0.0103285668193,"BD_Inventário (1 UTs, 12 indivíduos total)"
D109,UT01,0.00309460533811,"BD_Inventário (1 UTs, 4 indivíduos total)"
D114,UT01,0.0042993133216,"BD_Inventário (1 UTs, 27 indivíduos total)"
D116,UT01,0.0322568691252,"BD_Inventário (1 UTs, 55 indivíduos total)"
D117,UT01,0.00845335325789,"BD_Inventário (1 UTs, 76 indivíduos total)"
D118_1,UT01,0.0013485892354829,"BD_Inventário (1 UTs, 7 indivíduos total)"
D118_1,UT02,0.037838281034424,"BD_Inventário (1 UTs, 95 indivíduos total)"
D118_12,UT01,0.00407539062441,"BD_Inventário (1 UTs, 11 indivíduos total)"
D118_2,UT01,0.047898881124244,"BD_Inventário (1 UTs, 93 indivíduos total)"
D118_4,UT01,0.0014365848931,"BD_Inventário (1 UTs, 15 indivíduos total)"
D118_9,UT01,0.00189038783869,"BD_Inventário (1 UTs, 27 indivíduos total)"
D118_9,UT02,0.00364610012651,"BD_Inventário (1 UTs, 5 indivíduos total)"
D119,UT01,0.07076176526927,"BD_Inventário (1 UTs, 50 indivíduos total)"
D119,UT02,0.001367678769472,"BD_Inventário (1 UTs, 7 indivíduos total)"
D119,UT03,0.048910343559419,"BD_Inventário (1 UTs, 81 indivíduos total)"
D120,UT01,0.00859247935685,"BD_Inventário (1 UTs, 65 indivíduos total)"
D139,UT01,0.199037119079,"BD_Inventário (1 UTs, 65 indivíduos total)"
D139,UT02,0.227763477272,"BD_Inventário (1 UTs, 141 indivíduos total)"
D139,UT03,0.153182890774,"BD_Inventário (1 UTs, 26 indivíduos total)"
D141,UT01,0.08890963056899227,"BD_Inventário (1 UTs, 63 indivíduos total)"
D144,UT06,0.0064495012759,"BD_Inventário (1 UTs, 36 indivíduos total)"
E001,UT01,0.628159035379,"BD_Inventário (1 UTs, 100 indivíduos total)"
E001,UT02,1.37838738904,"BD_Inventário (1 UTs, 29 indivíduos total)"
E001,UT03,1.93025533773,"BD_Inventário (1 UTs, 94 indivíduos total)"
E002,UT02,0.335015324655,"BD_Inventário (1 UTs, 100 indivíduos total)"
E002,UT05,0.146045181309,"BD_Inventário (1 UTs, 110 indivíduos total)"
E002,UT12,0.353779850905,"BD_Inventário (1 UTs, 23 indivíduos total)"
E002,UT14,3.82851315462629,"BD_Inventário (1 UTs, 161 indivíduos total)"
E003,UT01,0.41409185162972,"BD_Inventário (1 UTs, 31 indivíduos total)"
E003,UT03,0.30449390129,"BD_Inventário (1 UTs, 36 indivíduos total)"
E003,UT18,0.2414679182022,"BD_Inventário (1 UTs, 51 indivíduos total)"
E003,UT19,0.6782603194672,"BD_Inventário (1 UTs, 126 indivíduos total)"
E004,UT01,0.40207441977799996,"BD_Inventário (1 UTs, 101 indivíduos total)"
E004,UT02,0.09743370628816,"BD_Inventário (1 UTs, 54 indivíduos total)"
E006,UT01,0.051546426514895,"BD_Inventário (1 UTs, 193 indivíduos total)"
E009_1,UT01,0.627687892395,"BD_Inventário (1 UTs, 156 indivíduos total)"
E011,UT01,0.13209450633852,"BD_Inventário (1 UTs, 247 indivíduos total)"
E011,UT02,0.0215896469944,"BD_Inventário (1 UTs, 28 indivíduos total)"
E014,UT01,0.1611524688605,"BD_Inventário (1 UTs, 621 indivíduos total)"
E014,UT02,0.0884278440062,"BD_Inventário (1 UTs, 368 indivíduos total)"
E014,UT03,0.0076412962235899995,"BD_Inventário (1 UTs, 61 indivíduos total)"
E014,UT05,0.0122912652114,"BD_Inventário (1 UTs, 66 indivíduos total)"
E014,UT06,0.03574555126963,"BD_Inventário (1 UTs, 169 indivíduos total)"
E017,UT01,0.10562084474601,"BD_Inventário (1 UTs, 403 indivíduos total)"
E017,UT02,0.0104540600621,"BD_Inventário (1 UTs, 74 indivíduos total)"
E019,UT01,0.1643300154931,"BD_Inventário (1 UTs, 821 indivíduos total)"
E019,UT02,0.011211095644209999,"BD_Inventário (1 UTs, 29 indivíduos total)"
E019,UT03,0.0358281070241,"BD_Inventário (1 UTs, 102 indivíduos total)"
E019,UT04,0.01315158182565,"BD_Inventário (1 UTs, 60 indivíduos total)"
E019,UT05,0.0139962818661,"BD_Inventário (1 UTs, 83 indivíduos total)"
E019,UT06,0.032126511584730004,"BD_Inventário (1 UTs, 190 indivíduos total)"
E019,UT07,0.02476705840049,"BD_Inventário (1 UTs, 149 indivíduos total)"
E019_1,UT01,0.0918058392553,"BD_Inventário (1 UTs, 142 indivíduos total)"
E021,UT01,0.0127847505776,"BD_Inventário (1 UTs, 59 indivíduos total)"
E021,UT02,0.00876369246139,"BD_Inventário (1 UTs, 45 indivíduos total)"
E021,UT03,0.0586146992877,"BD_Inventário (1 UTs, 199 indivíduos total)"
E021,UT04,0.01677106550869,"BD_Inventário (1 UTs, 76 indivíduos total)"
E021,UT05,0.00378905148904,"BD_Inventário (1 UTs, 69 indivíduos total)"
E021,UT07,0.0184205163803,"BD_Inventário (1 UTs, 86 indivíduos total)"
